Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2488414,imr,COUNTRY,PER,AMR,YEAR,Americas,SEX,SEX_FMLE,2006,,,,,DATASOURCE,DATASOURCE_EQ_DHS,23.0 [16.1-29.9],22.99673,16.07674,29.91672,,2022-05-26T11:47:38+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2488955,imr,COUNTRY,TGO,AFR,YEAR,Africa,WEALTHQUINTILE,WEALTHQUINTILE_WQ3,1998,,,,,DATASOURCE,DATASOURCE_EQ_DHS,90.0 [76.7-103.3],90.00342,76.66588,103.34095,,2022-05-26T13:05:09+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
2489541,imr,COUNTRY,HND,AMR,YEAR,Americas,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,1996,,,,,DATASOURCE,DATASOURCE_EQ_RHS,No data,,,,Not available,2022-05-26T12:53:53+02:00,1996,1996-01-01T00:00:00+01:00,1996-12-31T00:00:00+01:00
2490984,imr,COUNTRY,AGO,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_AGODHS201507,2015,,,,,DATASOURCE,DATASOURCE_EQ_DHS,38.8 [26.0-51.7],38.84795,25.98698,51.70891,,2022-05-26T14:10:59+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2491054,imr,COUNTRY,CRI,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,1992,,,,,DATASOURCE,DATASOURCE_EQ_RHS,No data,,,,Not available,2022-05-26T12:04:17+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
2491764,imr,COUNTRY,SLE,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_SLEMICS201002,2010,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T14:47:01+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
2492762,imr,COUNTRY,TKM,EUR,YEAR,Europe,AGEGROUP,AGEGROUP_YEARS15-19,2015,,,,,DATASOURCE,DATASOURCE_EQ_MICS,0.0 [0.0-0.0],0.03052,0.01116,0.04988,Attention - Estimate is based on 250-499 unweighted person-years of exposure to the risk of death,2022-05-26T11:07:15+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2493225,imr,COUNTRY,MWI,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE04,2015,,,,,DATASOURCE,DATASOURCE_EQ_DHS,49.7 [41.0-58.4],49.65835,40.96051,58.35619,,2022-05-26T12:18:06+02:00,2015,2015-01-01T00:00:00+01:00,2015-12-31T00:00:00+01:00
2493632,imr,COUNTRY,KGZ,EUR,YEAR,Europe,DHSMICSGEOREGION,DHSMICSGEOREGION_KGZMICS201405,2014,,,,,DATASOURCE,DATASOURCE_EQ_MICS,31.9 [22.5-41.2],31.85863,22.49798,41.21928,,2022-05-26T14:31:12+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2494513,imr,COUNTRY,PNG,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2016,,,,,DATASOURCE,DATASOURCE_EQ_DHS,38.8 [32.2-45.4],38.80714,32.20705,45.40722,,2022-05-26T11:47:31+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2498313,imr,COUNTRY,MWI,AFR,YEAR,Africa,RESIDENCEAREATYPE,RESIDENCEAREATYPE_URB,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,77.2 [66.2-88.2],77.18223,66.1587,88.20575,,2022-05-26T11:36:50+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2498490,imr,COUNTRY,NPL,SEAR,YEAR,South-East Asia,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,2006,,,,,DATASOURCE,DATASOURCE_EQ_DHS,28.9 [20.9-36.9],28.92042,20.94283,36.89802,,2022-05-26T11:21:39+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2499823,imr,COUNTRY,PER,AMR,YEAR,Americas,DHSMICSGEOREGION,DHSMICSGEOREGION_PERDHS201623,2016,,,,,DATASOURCE,DATASOURCE_EQ_DHS,No data,,,,Not reported - Estimate is based on fewer than 250 unweighted person-years of exposure to the risk of death,2022-05-26T14:42:42+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
2499879,imr,COUNTRY,ECU,AMR,YEAR,Americas,WEALTHQUINTILE,WEALTHQUINTILE_WQ4,1999,,,,,DATASOURCE,DATASOURCE_EQ_RHS,No data,,,,Not available,2022-05-26T12:50:43+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
